timestamp,total_time,transient,intensity,weights,sigmas,boosts,max_rho_e,max_rho_i,config_json
2025-12-09T18:11:57,67.51,unstable,,"{""ee"": 600, ""ie"": 200, ""ei"": 400, ""ii"": 150}","{""ee"": 113, ""ie"": 113, ""ei"": 113, ""ii"": 113}","{""exc"": 3, ""inh"": 3}",358.8999938964844,312.5,"{""N"": 1000, ""dt"": 0.01, ""distance"": 770, ""dx"": 0.1, ""R"": 7, ""ALPHA"": 4, ""BETA"": 1, ""TAU"": 10, ""Rm"": 1, ""THRESHOLD"": 20, ""intensity"": 200, ""P"": 2, ""d_axon"": {""exc"": 100, ""inh"": 300}, ""rates"": {""exc"": 1, ""inh"": 1}, ""sigmas"": {""ee"": 113, ""ie"": 113, ""ei"": 113, ""ii"": 113}, ""weights"": {""ee"": 600, ""ie"": 200, ""ei"": 400, ""ii"": 150}, ""gamma"": {""exc"": 3, ""inh"": 3}, ""no_boost_weights"": {""ee"": 150, ""ie"": 150, ""ei"": 150, ""ii"": 150}, ""no_boost"": {""exc"": 1, ""inh"": 1}, ""MU_E"": 0.45, ""MU_I"": 0.54, ""STDEV_E"": 0.1, ""STDEV_I"": 0.1, ""RHEOBASE"": 5, ""PULSE"": 12, ""STEP"": ""1e-6""}"
2025-12-09T18:13:04,67.41,unstable,,"{""ee"": 600, ""ie"": 200, ""ei"": 400, ""ii"": 150}","{""ee"": 113, ""ie"": 113, ""ei"": 113, ""ii"": 113}","{""exc"": 3, ""inh"": 3}",666.7000122070312,620.0999755859375,"{""N"": 1000, ""dt"": 0.01, ""distance"": 770, ""dx"": 0.1, ""R"": 7, ""ALPHA"": 4, ""BETA"": 1, ""TAU"": 10, ""Rm"": 1, ""THRESHOLD"": 20, ""intensity"": 200, ""P"": 2, ""d_axon"": {""exc"": 100, ""inh"": 300}, ""rates"": {""exc"": 1, ""inh"": 1}, ""sigmas"": {""ee"": 113, ""ie"": 113, ""ei"": 113, ""ii"": 113}, ""weights"": {""ee"": 600, ""ie"": 200, ""ei"": 400, ""ii"": 150}, ""gamma"": {""exc"": 3, ""inh"": 3}, ""no_boost_weights"": {""ee"": 150, ""ie"": 150, ""ei"": 150, ""ii"": 150}, ""no_boost"": {""exc"": 1, ""inh"": 1}, ""MU_E"": 0.45, ""MU_I"": 0.54, ""STDEV_E"": 0.1, ""STDEV_I"": 0.1, ""RHEOBASE"": 5, ""PULSE"": 12, ""STEP"": ""1e-6""}"
2025-12-09T18:14:12,67.31,unstable,,"{""ee"": 600, ""ie"": 200, ""ei"": 400, ""ii"": 150}","{""ee"": 113, ""ie"": 113, ""ei"": 113, ""ii"": 113}","{""exc"": 3, ""inh"": 3}",769.9000244140625,769.9000244140625,"{""N"": 1000, ""dt"": 0.01, ""distance"": 770, ""dx"": 0.1, ""R"": 7, ""ALPHA"": 4, ""BETA"": 1, ""TAU"": 10, ""Rm"": 1, ""THRESHOLD"": 20, ""intensity"": 200, ""P"": 2, ""d_axon"": {""exc"": 100, ""inh"": 300}, ""rates"": {""exc"": 1, ""inh"": 1}, ""sigmas"": {""ee"": 113, ""ie"": 113, ""ei"": 113, ""ii"": 113}, ""weights"": {""ee"": 600, ""ie"": 200, ""ei"": 400, ""ii"": 150}, ""gamma"": {""exc"": 3, ""inh"": 3}, ""no_boost_weights"": {""ee"": 150, ""ie"": 150, ""ei"": 150, ""ii"": 150}, ""no_boost"": {""exc"": 1, ""inh"": 1}, ""MU_E"": 0.45, ""MU_I"": 0.54, ""STDEV_E"": 0.1, ""STDEV_I"": 0.1, ""RHEOBASE"": 5, ""PULSE"": 12, ""STEP"": ""1e-6""}"
2025-12-09T18:15:21,69.21,unstable,,"{""ee"": 600, ""ie"": 200, ""ei"": 400, ""ii"": 150}","{""ee"": 113, ""ie"": 113, ""ei"": 113, ""ii"": 113}","{""exc"": 3, ""inh"": 3}",769.9000244140625,769.9000244140625,"{""N"": 1000, ""dt"": 0.01, ""distance"": 770, ""dx"": 0.1, ""R"": 7, ""ALPHA"": 4, ""BETA"": 1, ""TAU"": 10, ""Rm"": 1, ""THRESHOLD"": 20, ""intensity"": 200, ""P"": 2, ""d_axon"": {""exc"": 100, ""inh"": 300}, ""rates"": {""exc"": 1, ""inh"": 1}, ""sigmas"": {""ee"": 113, ""ie"": 113, ""ei"": 113, ""ii"": 113}, ""weights"": {""ee"": 600, ""ie"": 200, ""ei"": 400, ""ii"": 150}, ""gamma"": {""exc"": 3, ""inh"": 3}, ""no_boost_weights"": {""ee"": 150, ""ie"": 150, ""ei"": 150, ""ii"": 150}, ""no_boost"": {""exc"": 1, ""inh"": 1}, ""MU_E"": 0.45, ""MU_I"": 0.54, ""STDEV_E"": 0.1, ""STDEV_I"": 0.1, ""RHEOBASE"": 5, ""PULSE"": 12, ""STEP"": ""1e-6""}"
2025-12-09T18:16:29,67.38,unstable,,"{""ee"": 600, ""ie"": 200, ""ei"": 400, ""ii"": 150}","{""ee"": 113, ""ie"": 113, ""ei"": 113, ""ii"": 113}","{""exc"": 3, ""inh"": 3}",769.9000244140625,769.9000244140625,"{""N"": 1000, ""dt"": 0.01, ""distance"": 770, ""dx"": 0.1, ""R"": 7, ""ALPHA"": 4, ""BETA"": 1, ""TAU"": 10, ""Rm"": 1, ""THRESHOLD"": 20, ""intensity"": 200, ""P"": 2, ""d_axon"": {""exc"": 100, ""inh"": 300}, ""rates"": {""exc"": 1, ""inh"": 1}, ""sigmas"": {""ee"": 113, ""ie"": 113, ""ei"": 113, ""ii"": 113}, ""weights"": {""ee"": 600, ""ie"": 200, ""ei"": 400, ""ii"": 150}, ""gamma"": {""exc"": 3, ""inh"": 3}, ""no_boost_weights"": {""ee"": 150, ""ie"": 150, ""ei"": 150, ""ii"": 150}, ""no_boost"": {""exc"": 1, ""inh"": 1}, ""MU_E"": 0.45, ""MU_I"": 0.54, ""STDEV_E"": 0.1, ""STDEV_I"": 0.1, ""RHEOBASE"": 5, ""PULSE"": 12, ""STEP"": ""1e-6""}"
2025-12-09T18:17:36,67.29,unstable,,"{""ee"": 600, ""ie"": 200, ""ei"": 400, ""ii"": 150}","{""ee"": 113, ""ie"": 113, ""ei"": 113, ""ii"": 113}","{""exc"": 3, ""inh"": 3}",769.9000244140625,769.9000244140625,"{""N"": 1000, ""dt"": 0.01, ""distance"": 770, ""dx"": 0.1, ""R"": 7, ""ALPHA"": 4, ""BETA"": 1, ""TAU"": 10, ""Rm"": 1, ""THRESHOLD"": 20, ""intensity"": 200, ""P"": 2, ""d_axon"": {""exc"": 100, ""inh"": 300}, ""rates"": {""exc"": 1, ""inh"": 1}, ""sigmas"": {""ee"": 113, ""ie"": 113, ""ei"": 113, ""ii"": 113}, ""weights"": {""ee"": 600, ""ie"": 200, ""ei"": 400, ""ii"": 150}, ""gamma"": {""exc"": 3, ""inh"": 3}, ""no_boost_weights"": {""ee"": 150, ""ie"": 150, ""ei"": 150, ""ii"": 150}, ""no_boost"": {""exc"": 1, ""inh"": 1}, ""MU_E"": 0.45, ""MU_I"": 0.54, ""STDEV_E"": 0.1, ""STDEV_I"": 0.1, ""RHEOBASE"": 5, ""PULSE"": 12, ""STEP"": ""1e-6""}"
2025-12-09T18:18:43,67.27,unstable,,"{""ee"": 600, ""ie"": 200, ""ei"": 400, ""ii"": 150}","{""ee"": 113, ""ie"": 113, ""ei"": 113, ""ii"": 113}","{""exc"": 3, ""inh"": 3}",769.9000244140625,769.9000244140625,"{""N"": 1000, ""dt"": 0.01, ""distance"": 770, ""dx"": 0.1, ""R"": 7, ""ALPHA"": 4, ""BETA"": 1, ""TAU"": 10, ""Rm"": 1, ""THRESHOLD"": 20, ""intensity"": 200, ""P"": 2, ""d_axon"": {""exc"": 100, ""inh"": 300}, ""rates"": {""exc"": 1, ""inh"": 1}, ""sigmas"": {""ee"": 113, ""ie"": 113, ""ei"": 113, ""ii"": 113}, ""weights"": {""ee"": 600, ""ie"": 200, ""ei"": 400, ""ii"": 150}, ""gamma"": {""exc"": 3, ""inh"": 3}, ""no_boost_weights"": {""ee"": 150, ""ie"": 150, ""ei"": 150, ""ii"": 150}, ""no_boost"": {""exc"": 1, ""inh"": 1}, ""MU_E"": 0.45, ""MU_I"": 0.54, ""STDEV_E"": 0.1, ""STDEV_I"": 0.1, ""RHEOBASE"": 5, ""PULSE"": 12, ""STEP"": ""1e-6""}"
2025-12-09T18:26:14,67.4,stable,,"{""ee"": 400, ""ie"": 200, ""ei"": 400, ""ii"": 150}","{""ee"": 113, ""ie"": 113, ""ei"": 113, ""ii"": 113}","{""exc"": 3, ""inh"": 3}",28.399999618530273,52.099998474121094,"{""N"": 1000, ""dt"": 0.01, ""distance"": 770, ""dx"": 0.1, ""R"": 7, ""ALPHA"": 4, ""BETA"": 1, ""TAU"": 10, ""Rm"": 1, ""THRESHOLD"": 20, ""intensity"": 200, ""P"": 2, ""d_axon"": {""exc"": 100, ""inh"": 300}, ""rates"": {""exc"": 1, ""inh"": 1}, ""sigmas"": {""ee"": 113, ""ie"": 113, ""ei"": 113, ""ii"": 113}, ""weights"": {""ee"": 400, ""ie"": 200, ""ei"": 400, ""ii"": 150}, ""gamma"": {""exc"": 3, ""inh"": 3}, ""no_boost_weights"": {""ee"": 150, ""ie"": 150, ""ei"": 150, ""ii"": 150}, ""no_boost"": {""exc"": 1, ""inh"": 1}, ""MU_E"": 0.45, ""MU_I"": 0.54, ""STDEV_E"": 0.1, ""STDEV_I"": 0.1, ""RHEOBASE"": 5, ""PULSE"": 12, ""STEP"": ""1e-6""}"
2025-12-09T18:27:22,67.78,stable,,"{""ee"": 400, ""ie"": 200, ""ei"": 400, ""ii"": 150}","{""ee"": 113, ""ie"": 113, ""ei"": 113, ""ii"": 113}","{""exc"": 3, ""inh"": 3}",41.79999923706055,75.30000305175781,"{""N"": 1000, ""dt"": 0.01, ""distance"": 770, ""dx"": 0.1, ""R"": 7, ""ALPHA"": 4, ""BETA"": 1, ""TAU"": 10, ""Rm"": 1, ""THRESHOLD"": 20, ""intensity"": 200, ""P"": 2, ""d_axon"": {""exc"": 100, ""inh"": 300}, ""rates"": {""exc"": 1, ""inh"": 1}, ""sigmas"": {""ee"": 113, ""ie"": 113, ""ei"": 113, ""ii"": 113}, ""weights"": {""ee"": 400, ""ie"": 200, ""ei"": 400, ""ii"": 150}, ""gamma"": {""exc"": 3, ""inh"": 3}, ""no_boost_weights"": {""ee"": 150, ""ie"": 150, ""ei"": 150, ""ii"": 150}, ""no_boost"": {""exc"": 1, ""inh"": 1}, ""MU_E"": 0.45, ""MU_I"": 0.54, ""STDEV_E"": 0.1, ""STDEV_I"": 0.1, ""RHEOBASE"": 5, ""PULSE"": 12, ""STEP"": ""1e-6""}"
2025-12-09T18:29:05,67.29,stable,10,"{""ee"": 400, ""ie"": 200, ""ei"": 400, ""ii"": 150}","{""ee"": 113, ""ie"": 113, ""ei"": 113, ""ii"": 113}","{""exc"": 3, ""inh"": 3}",28.399999618530273,52.099998474121094,"{""N"": 1000, ""dt"": 0.01, ""distance"": 770, ""dx"": 0.1, ""R"": 7, ""ALPHA"": 4, ""BETA"": 1, ""TAU"": 10, ""Rm"": 1, ""THRESHOLD"": 20, ""intensity"": 200, ""P"": 2, ""d_axon"": {""exc"": 100, ""inh"": 300}, ""rates"": {""exc"": 1, ""inh"": 1}, ""sigmas"": {""ee"": 113, ""ie"": 113, ""ei"": 113, ""ii"": 113}, ""weights"": {""ee"": 400, ""ie"": 200, ""ei"": 400, ""ii"": 150}, ""gamma"": {""exc"": 3, ""inh"": 3}, ""no_boost_weights"": {""ee"": 150, ""ie"": 150, ""ei"": 150, ""ii"": 150}, ""no_boost"": {""exc"": 1, ""inh"": 1}, ""MU_E"": 0.45, ""MU_I"": 0.54, ""STDEV_E"": 0.1, ""STDEV_I"": 0.1, ""RHEOBASE"": 5, ""PULSE"": 12, ""STEP"": ""1e-6""}"
2025-12-09T18:30:13,67.35,stable,20,"{""ee"": 400, ""ie"": 200, ""ei"": 400, ""ii"": 150}","{""ee"": 113, ""ie"": 113, ""ei"": 113, ""ii"": 113}","{""exc"": 3, ""inh"": 3}",41.79999923706055,75.30000305175781,"{""N"": 1000, ""dt"": 0.01, ""distance"": 770, ""dx"": 0.1, ""R"": 7, ""ALPHA"": 4, ""BETA"": 1, ""TAU"": 10, ""Rm"": 1, ""THRESHOLD"": 20, ""intensity"": 200, ""P"": 2, ""d_axon"": {""exc"": 100, ""inh"": 300}, ""rates"": {""exc"": 1, ""inh"": 1}, ""sigmas"": {""ee"": 113, ""ie"": 113, ""ei"": 113, ""ii"": 113}, ""weights"": {""ee"": 400, ""ie"": 200, ""ei"": 400, ""ii"": 150}, ""gamma"": {""exc"": 3, ""inh"": 3}, ""no_boost_weights"": {""ee"": 150, ""ie"": 150, ""ei"": 150, ""ii"": 150}, ""no_boost"": {""exc"": 1, ""inh"": 1}, ""MU_E"": 0.45, ""MU_I"": 0.54, ""STDEV_E"": 0.1, ""STDEV_I"": 0.1, ""RHEOBASE"": 5, ""PULSE"": 12, ""STEP"": ""1e-6""}"
